t_ps,delta_k,sigma_dk
-16,0.04115286469,0.0002559973218
-11,0.04115286469,0.0002559973218
-6,0.04115286469,0.0002559973218
-1,0.04115286469,0.0002559973218
4,0.03116874397,0.0003146276867
9,0.03398992121,0.0002259987814
14,0.03614769876,0.00068787497
19,0.03446519375,0.001095164567
24,0.03116980195,0.0003769196337
29,0.03133068979,0.0003618773189
34,0.0289721638,0.0003501529864
39,0.02634845674,0.0002004151756
44,0.02710479498,0.0002808893623
49,0.026659742,0.0001634932269
54,0.02632692456,0.0001514148316
59,0.02625237405,0.0004458072071
64,0.02551499009,0.0003740490647
69,0.02493275702,0.0002011631441
74,0.02512380481,0.0001959768269
79,0.02303099632,0.0002443662379
84,0.02155405283,0.000229023135
89,0.02391284704,0.0002055278746
94,0.0227766037,0.0003634451423
99,0.02212539315,0.0004030234413
104,0.02089129388,0.0002085952146
